key,0,1
#,,
int32,str,str
0,"TEXT_AKTKZI002_04317_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>特殊规则： 等级调整<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
以太之光广场附近的神秘女性饶有兴趣地望着冒险者。"
1,"TEXT_AKTKZI002_04317_SEQ_01",""
2,"TEXT_AKTKZI002_04317_SEQ_02",""
3,"TEXT_AKTKZI002_04317_SEQ_03",""
4,"TEXT_AKTKZI002_04317_SEQ_04",""
5,"TEXT_AKTKZI002_04317_SEQ_05",""
6,"TEXT_AKTKZI002_04317_SEQ_06",""
7,"TEXT_AKTKZI002_04317_SEQ_07",""
8,"TEXT_AKTKZI002_04317_SEQ_08",""
9,"TEXT_AKTKZI002_04317_SEQ_09",""
10,"TEXT_AKTKZI002_04317_SEQ_10",""
11,"TEXT_AKTKZI002_04317_SEQ_11",""
12,"TEXT_AKTKZI002_04317_SEQ_12",""
13,"TEXT_AKTKZI002_04317_SEQ_13",""
14,"TEXT_AKTKZI002_04317_SEQ_14",""
15,"TEXT_AKTKZI002_04317_SEQ_15",""
16,"TEXT_AKTKZI002_04317_SEQ_16",""
17,"TEXT_AKTKZI002_04317_SEQ_17",""
18,"TEXT_AKTKZI002_04317_SEQ_18",""
19,"TEXT_AKTKZI002_04317_SEQ_19",""
20,"TEXT_AKTKZI002_04317_SEQ_20",""
21,"TEXT_AKTKZI002_04317_SEQ_21",""
22,"TEXT_AKTKZI002_04317_SEQ_22",""
23,"TEXT_AKTKZI002_04317_SEQ_23",""
24,"TEXT_AKTKZI002_04317_TODO_00","调查<Sheet(EObj,2012438,0)/>"
25,"TEXT_AKTKZI002_04317_TODO_01","解开信中之谜 获取<Sheet(EventItem,2003294,0)/>"
26,"TEXT_AKTKZI002_04317_TODO_02","调查<Sheet(EObj,2012439,0)/>"
27,"TEXT_AKTKZI002_04317_TODO_03",""
28,"TEXT_AKTKZI002_04317_TODO_04",""
29,"TEXT_AKTKZI002_04317_TODO_05",""
30,"TEXT_AKTKZI002_04317_TODO_06",""
31,"TEXT_AKTKZI002_04317_TODO_07",""
32,"TEXT_AKTKZI002_04317_TODO_08",""
33,"TEXT_AKTKZI002_04317_TODO_09",""
34,"TEXT_AKTKZI002_04317_TODO_10",""
